"Folkmängd efter region och år"

"region","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"01 Stockholms län",1981263,2019182,2054343,2091473,2127006,2163042,2198044,2231439,2269060,2308143,2344124,2377081,2391990,2415139,2440027
"03 Uppsala län",327188,331898,335882,338630,341977,345481,348942,354164,361373,368971,376354,383713,388394,395026,400682
"04 Södermanlands län",267524,269053,270738,272563,274723,277569,280666,283712,288097,291341,294695,297540,299401,301801,302566
"05 Östergötlands län",423169,427106,429642,431075,433784,437848,442105,445661,452105,457496,461583,465495,467158,469704,471912
"06 Jönköpings län",335246,336044,336866,337896,339116,341235,344262,347837,352735,357237,360825,363599,365010,367064,369113
"07 Kronobergs län",182224,183162,183940,184654,185887,187156,189128,191369,194628,197519,199886,201469,202263,203340,204335
"08 Kalmar län",233397,233639,233536,233090,233548,233874,235598,237679,242301,243536,244670,245446,246010,247175,247711
"09 Gotlands län",57004,57221,57269,57308,57241,57161,57255,57391,58003,58595,59249,59686,60124,61001,61173
"10 Blekinge län",152259,152591,153227,152979,152315,152757,154157,156253,158453,159371,159684,159606,159056,158937,158740
"12 Skåne län",1214758,1231062,1243329,1252933,1263088,1274069,1288908,1303627,1324565,1344689,1362164,1377827,1389336,1402425,1414324
"13 Hallands län",293572,296825,299484,301724,304116,306840,310665,314784,320333,324825,329352,333848,336748,340243,342805
"14 Västra Götalands län",1558130,1569458,1580297,1590604,1600447,1615084,1632012,1648682,1671783,1690782,1709814,1725881,1734443,1744859,1758656
"17 Värmlands län",273374,273257,273265,272736,273080,273815,274691,275904,279334,280399,281482,282414,282885,283196,283976
"18 Örebro län",277732,278882,280230,281572,283113,285395,288150,291012,294941,298907,302252,304805,305643,306792,307772
"19 Västmanlands län",249974,251353,252756,254257,256224,259054,261703,264276,267629,271095,273929,275845,277141,278967,280713
"20 Dalarnas län",275867,276454,277047,276565,276555,277349,278903,281028,284531,286165,287191,287966,287676,288387,288310
"21 Gävleborgs län",275908,276220,276508,276130,276637,277970,279991,281815,284586,285637,286547,287382,287502,287767,287334
"22 Västernorrlands län",243372,243042,242625,242155,241981,242156,243061,243897,245572,245968,245453,245347,244554,244193,243265
"23 Jämtlands län",126897,126666,126691,126299,126201,126461,126765,127376,128673,129806,130280,130810,131155,132054,132670
"24 Västerbottens län",257812,258548,259286,259667,260217,261112,262362,263378,265881,268465,270154,271736,273192,274563,276295
"25 Norrbottens län",249677,249019,248609,248545,248637,249436,249987,249733,250570,251295,250497,250093,249614,249693,249177
